epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
78,1340.78,0.03731,1,1,2.07852,0.000260431,0.000260431,0.000260431
79,1357.89,0.02308,1,1,2.07852,0.000254541,0.000254541,0.000254541
80,1374.73,0.03693,1,1,2.07891,0.000248651,0.000248651,0.000248651
81,1391.79,0.02982,1,1,2.07852,0.00024276,0.00024276,0.00024276
82,1408.75,0.04959,1,1,2.07832,0.000236869,0.000236869,0.000236869
83,1425.74,0.03975,1,1,2.0793,0.000230979,0.000230979,0.000230979
84,1443.11,0.03582,1,1,2.07852,0.000225089,0.000225089,0.000225089
85,1460.24,0.02815,1,1,2.07832,0.000219198,0.000219198,0.000219198
86,1477.59,0.03006,0.99844,1,2.07988,0.000213307,0.000213307,0.000213307
87,1494.59,0.02733,1,1,2.0791,0.000207417,0.000207417,0.000207417
88,1511.56,0.03107,1,1,2.07812,0.000201527,0.000201527,0.000201527
89,1528.96,0.02949,1,1,2.07812,0.000195636,0.000195636,0.000195636
90,1546.2,0.0172,1,1,2.07832,0.000189745,0.000189745,0.000189745
91,1563.33,0.0327,1,1,2.07812,0.000183855,0.000183855,0.000183855
92,1580.75,0.03368,1,1,2.07812,0.000177965,0.000177965,0.000177965
93,1598.28,0.0179,1,1,2.07852,0.000172074,0.000172074,0.000172074
94,1615.43,0.02033,1,1,2.07891,0.000166183,0.000166183,0.000166183
95,1632.44,0.02634,1,1,2.07871,0.000160293,0.000160293,0.000160293
96,1649.82,0.02753,1,1,2.07852,0.000154403,0.000154403,0.000154403
97,1667.07,0.02186,1,1,2.07852,0.000148512,0.000148512,0.000148512
98,1684.38,0.0166,1,1,2.07852,0.000142621,0.000142621,0.000142621
99,1701.57,0.01722,1,1,2.07852,0.000136731,0.000136731,0.000136731
100,1718.5,0.02052,1,1,2.07812,0.000130841,0.000130841,0.000130841
101,1735.7,0.02312,1,1,2.07832,0.00012495,0.00012495,0.00012495
102,1752.94,0.0202,1,1,2.07832,0.00011906,0.00011906,0.00011906
103,1770.13,0.0264,1,1,2.07812,0.000113169,0.000113169,0.000113169
104,1787.45,0.01506,1,1,2.07812,0.000107279,0.000107279,0.000107279
105,1804.08,0.01593,1,1,2.07812,0.000101388,0.000101388,0.000101388
106,1821.25,0.02046,1,1,2.07832,9.54975e-05,9.54975e-05,9.54975e-05
107,1838.78,0.01504,1,1,2.07812,8.9607e-05,8.9607e-05,8.9607e-05
108,1857.22,0.0168,1,1,2.07812,8.37165e-05,8.37165e-05,8.37165e-05
109,1874.82,0.01757,1,1,2.07812,7.7826e-05,7.7826e-05,7.7826e-05
110,1892.17,0.00945,1,1,2.07812,7.19355e-05,7.19355e-05,7.19355e-05
111,1909.6,0.00961,1,1,2.07812,6.6045e-05,6.6045e-05,6.6045e-05
112,1926.62,0.01531,1,1,2.07812,6.01545e-05,6.01545e-05,6.01545e-05
113,1943.89,0.01227,1,1,2.07812,5.4264e-05,5.4264e-05,5.4264e-05
114,1960.69,0.01375,1,1,2.07812,4.83735e-05,4.83735e-05,4.83735e-05
115,1978.02,0.0126,1,1,2.07812,4.2483e-05,4.2483e-05,4.2483e-05
116,1995.25,0.01113,1,1,2.07812,3.65925e-05,3.65925e-05,3.65925e-05
117,2012.43,0.01625,1,1,2.07812,3.0702e-05,3.0702e-05,3.0702e-05
118,2029.51,0.01519,1,1,2.07812,2.48115e-05,2.48115e-05,2.48115e-05
119,2046.7,0.01309,1,1,2.07812,1.8921e-05,1.8921e-05,1.8921e-05
120,2064.01,0.0168,1,1,2.07812,1.30305e-05,1.30305e-05,1.30305e-05
