epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.9696,2.56216,0.75313,0.96094,2.64824,0.000232936,0.000232936,0.000232936
2,34.4405,0.8593,0.87656,0.99531,2.27559,0.000465108,0.000465108,0.000465108
3,51.5168,0.51021,0.89844,0.99531,2.2375,0.00069139,0.00069139,0.00069139
4,68.6282,0.4704,0.85156,1,2.26152,0.000687493,0.000687493,0.000687493
5,85.7634,0.41921,0.89531,0.99844,2.20625,0.000678657,0.000678657,0.000678657
6,103.027,0.41539,0.88594,0.99844,2.21465,0.000669821,0.000669821,0.000669821
7,120.256,0.29162,0.94844,1,2.15391,0.000660986,0.000660986,0.000660986
8,137.66,0.34483,0.95469,1,2.15059,0.00065215,0.00065215,0.00065215
9,154.73,0.28703,0.9375,1,2.1666,0.000643314,0.000643314,0.000643314
10,172.371,0.27712,0.94844,1,2.1541,0.000634478,0.000634478,0.000634478
11,189.467,0.24106,0.975,1,2.13047,0.000625642,0.000625642,0.000625642
12,206.493,0.18877,0.97188,1,2.12539,0.000616807,0.000616807,0.000616807
13,223.944,0.19445,0.97656,1,2.12305,0.000607971,0.000607971,0.000607971
14,241.278,0.20187,0.9875,1,2.10762,0.000599135,0.000599135,0.000599135
15,258.556,0.19198,0.98281,1,2.10879,0.0005903,0.0005903,0.0005903
16,275.38,0.19423,0.98281,1,2.1168,0.000581464,0.000581464,0.000581464
17,292.656,0.17657,0.98906,1,2.10215,0.000572628,0.000572628,0.000572628
18,309.034,0.17126,0.97188,1,2.11445,0.000563792,0.000563792,0.000563792
19,326.406,0.18852,0.9625,1,2.13594,0.000554956,0.000554956,0.000554956
20,343.23,0.17684,0.97812,1,2.10977,0.000546121,0.000546121,0.000546121
21,360.303,0.1314,0.99063,1,2.10449,0.000537285,0.000537285,0.000537285
22,377.111,0.12114,0.98281,1,2.1002,0.000528449,0.000528449,0.000528449
23,393.981,0.12793,0.97812,1,2.10586,0.000519613,0.000519613,0.000519613
24,411.063,0.15156,0.99219,1,2.0959,0.000510778,0.000510778,0.000510778
25,428.3,0.13049,0.99219,1,2.09258,0.000501942,0.000501942,0.000501942
26,445.23,0.10854,0.99219,1,2.08848,0.000493106,0.000493106,0.000493106
27,462.349,0.105,0.99375,1,2.09277,0.000484271,0.000484271,0.000484271
28,479.442,0.10477,0.99844,1,2.08711,0.000475435,0.000475435,0.000475435
