epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
79,1337.93,0.0195,1,1,2.07812,0.000162649,0.000162649,0.000162649
80,1355.1,0.02634,1,1,2.07832,0.000155581,0.000155581,0.000155581
81,1372.2,0.02728,1,1,2.07812,0.000148512,0.000148512,0.000148512
82,1389.39,0.03176,1,1,2.07832,0.000141443,0.000141443,0.000141443
83,1406.98,0.02454,1,1,2.07812,0.000134375,0.000134375,0.000134375
84,1424.16,0.01648,1,1,2.07812,0.000127306,0.000127306,0.000127306
85,1441.33,0.02021,1,1,2.07812,0.000120238,0.000120238,0.000120238
86,1458.67,0.02235,1,1,2.07812,0.000113169,0.000113169,0.000113169
87,1475.69,0.01611,1,1,2.07812,0.0001061,0.0001061,0.0001061
88,1492.44,0.01585,1,1,2.07812,9.90318e-05,9.90318e-05,9.90318e-05
89,1509.53,0.02182,1,1,2.07812,9.19632e-05,9.19632e-05,9.19632e-05
90,1526.87,0.01344,1,1,2.07812,8.48946e-05,8.48946e-05,8.48946e-05
91,1544.24,0.02184,1,1,2.07812,7.7826e-05,7.7826e-05,7.7826e-05
92,1561.4,0.02064,1,1,2.07812,7.07574e-05,7.07574e-05,7.07574e-05
93,1578.61,0.02093,1,1,2.07812,6.36888e-05,6.36888e-05,6.36888e-05
94,1595.75,0.02044,1,1,2.07812,5.66202e-05,5.66202e-05,5.66202e-05
95,1612.95,0.02317,1,1,2.07812,4.95516e-05,4.95516e-05,4.95516e-05
96,1630.16,0.02135,1,1,2.07812,4.2483e-05,4.2483e-05,4.2483e-05
97,1648.07,0.01331,1,1,2.07812,3.54144e-05,3.54144e-05,3.54144e-05
98,1665.47,0.01481,1,1,2.07812,2.83458e-05,2.83458e-05,2.83458e-05
99,1682.86,0.02113,1,1,2.07812,2.12772e-05,2.12772e-05,2.12772e-05
100,1699.81,0.01552,1,1,2.07812,1.42086e-05,1.42086e-05,1.42086e-05
